"ine","Ficha","Municipio","Provincia","Comarca","Total","ODS","name","value"
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods12","ods12.fr_selectiva",43.82
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods13","ods13.Gasto_17perHab",81.51
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods13","ods13.Participa",1
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods15","ods15.tasaBosque",19.4
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods15","ods15.snuPerc",59.2
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods16","ods16.tasaCrimConv",NA
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods16","ods16.percVotants",53.87
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods16","ods16.deut.hab",604.4
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods17","ods17.coopIngr",NA
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods17","ods17.coopHab",0.1
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods01","ods01.rdfb.hab",19760
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods01","ods01.PobrSev",7.2
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods01","ods01.Gasto_23perHab",130.36
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods2","ods2.propEco",7.6
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods2","ods2.propSau",2.5
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods3","ods3.MortGen",12.3
