Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
250864;Esterri d'Àneu;6,3;9,8;16,0
250870;Esterri de Cardós;0,6;0,0;0,6
430555;Falset;37,7;65,5;103,2
170059;Far d'Empordà, el;8,6;8,3;16,8
250899;Farrera;2,7;1,3;3,9
430568;Fatarella, la;5,8;14,8;20,7
430574;Febró, la;0,3;2,0;2,3
081347;Figaró-Montmany;23,8;25,6;49,3
080804;Fígols;0,8;0,0;0,8
259084;Fígols i Alinyà;3,2;2,9;6,1
430580;Figuera, la;2,8;0,8;3,5
170669;Figueres;1019,3;1527,4;2546,7
430593;Figuerola del Camp;4,3;7,4;11,8
170675;Flaçà;17,0;19,9;36,9
430607;Flix;73,7;81,1;154,8
250925;Floresta, la;3,0;2,3;5,3
080826;Fogars de la Selva;41,5;51,6;93,1
080811;Fogars de Montclús;6,4;8,2;14,6
170681;Foixà;2,8;0,8;3,5
080832;Folgueroles;15,2;39,5;54,7
250931;Fondarella;5,1;10,8;15,8
080847;Fonollosa;28,3;37,8;66,1
170694;Fontanals de Cerdanya;1,8;3,1;4,8
170708;Fontanilles;0,7;2,4;3,1
170715;Fontcoberta;7,0;14,6;21,6
080850;Font-rubí;21,7;25,5;47,2
250946;Foradada;0,5;3,5;4,0
179026;Forallac;20,8;25,6;46,3
430614;Forès;2,2;0,0;2,2
170736;Fornells de la Selva;20,1;29,7;49,8
170741;Fortià;9,0;11,6;20,6
080863;Franqueses del Vallès, les;360,7;571,4;932,1
430629;Freginals;6,1;10,8;16,9
250962;Fuliola, la;31,1;32,4;63,5
250978;Fulleda;1,8;2,4;4,2
080902;Gaià;2,6;4,7;7,3
430635;Galera, la;10,9;11,2;22,1
080879;Gallifa;3,0;2,8;5,8
430640;Gandesa;51,5;70,0;121,5
430653;Garcia;9,4;12,1;21,5
430666;Garidells, els;4,3;4,9;9,3
080885;Garriga, la;223,9;323,4;547,3
170754;Garrigàs;6,0;4,8;10,8
170767;Garrigoles;0,9;1,7;2,6
170773;Garriguella;5,7;14,8;20,5
080898;Gavà;807,8;1075,8;1883,7
250984;Gavet de la Conca;4,1;1,9;6,0
080919;Gelida;142,2;183,7;325,8
170789;Ger;3,7;2,8;6,4
259123;Gimenells i el Pla de la Font;5,8;15,3;21,0
430672;Ginestar;12,6;16,9;29,5
170792;Girona;1999,8;2470,8;4470,7
080924;Gironella;69,6;107,0;176,6
080930;Gisclareny;0,3;1,0;1,3
430688;Godall;15,0;10,8;25,8
250997;Golmés;28,3;34,7;62,9
170806;Gombrèn;4,1;4,0;8,1
251001;Gósol;1,3;2,1;3,3
080945;Granada, la;34,4;49,2;83,6
251018;Granadella, la;2,8;11,1;13,9
080958;Granera;1,2;2,0;3,2
251023;Granja d'Escarp, la;12,4;9,4;21,8
080961;Granollers;1287,6;1727,6;3015,2
251039;Granyanella;1,3;2,6;3,8
251057;Granyena de les Garrigues;4,0;2,3;6,3
251044;Granyena de Segarra;4,8;0,3;5,1
430691;Gratallops;2,0;3,1;5,1
080977;Gualba;29,2;44,8;74,0
170813;Gualta;4,4;4,9;9,3
080996;Guardiola de Berguedà;19,9;26,6;46,5
430705;Guiamets, els;4,3;3,7;7,9
170828;Guils de Cerdanya;2,8;7,8;10,5
251095;Guimerà;3,6;6,3;9,9
259031;Guingueta d'Àneu, la;1,3;2,8;4,0
251109;Guissona;70,3;88,8;159,1
