Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
251207;Lleida;2512070005;33;
170932;Llers;1709320002;02;
251272;Lles de Cerdanya;2512720002;15;
081075;Lliçà d'Amunt;0810750006;41;
081081;Lliçà de Vall;0810810007;41;
251288;Llimiana;2512880001;25;
081069;Llinars del Vallès;0810690004;41;
170947;Llívia;1709470005;15;
430727;Lloar, el;4307270005;29;
251291;Llobera;2512910007;35;
430733;Llorac;4307330008;16;
430748;Llorenç del Penedès;4307480001;12;
170950;Lloret de Mar;1709500000;34;
170963;Llosses, les;1709630008;31;
081094;Lluçà;0810940003;43;
171024;Maçanet de Cabrenys;1710240003;02;
171030;Maçanet de la Selva;1710300000;34;
170979;Madremanya;1709790004;20;
170985;Maià de Montcal;1709850006;19;
251333;Maials;2513330008;33;
251305;Maldà;2513050006;38;
081108;Malgrat de Mar;0811080001;21;
081115;Malla;0811150006;24;
081120;Manlleu;0811200000;24;
081136;Manresa;0811360009;07;
430764;Marçà;4307640003;29;
430751;Margalef;4307510007;29;
082423;Marganell;0824230008;07;
081141;Martorell;0811410007;11;
081154;Martorelles;0811540003;41;
430770;Mas de Barberans;4307700000;22;
171002;Masarac;1710020002;02;
430786;Masdenverge;4307860009;22;
081167;Masies de Roda, les;0811670005;24;
081173;Masies de Voltregà, les;0811730008;24;
430799;Masllorenç;4307990004;12;
081189;Masnou, el;0811890004;21;
430803;Masó, la;4308030008;01;
430810;Maspujols;4308100000;08;
081192;Masquefa;0811920002;06;
430825;Masroig, el;4308250006;29;
251312;Massalcoreig;2513120002;33;
171019;Massanes;1710190004;34;
251327;Massoteres;2513270005;32;
081206;Matadepera;0812060009;40;
081213;Mataró;0812130008;21;
081228;Mediona;0812280001;03;
251348;Menàrguens;2513480001;23;
170998;Meranges;1709980001;15;
171058;Mieres;1710580001;19;
430831;Milà, el;4308310007;01;
251351;Miralcamp;2513510007;27;
430846;Miravet;4308460009;30;
081385;Moià;0813850006;42;
430859;Molar, el;4308590004;29;
081234;Molins de Rei;0812340003;11;
251370;Mollerussa;2513700000;27;
171061;Mollet de Peralada;1710610007;02;
081249;Mollet del Vallès;0812490004;41;
171077;Molló;1710770005;31;
251364;Molsosa, la;2513640003;35;
081287;Monistrol de Calders;0812870005;42;
081271;Monistrol de Montserrat;0812710007;07;
430918;Mont-ral;4309180001;01;
171100;Mont-ras;1711000000;10;
430923;Mont-roig del Camp;4309230008;08;
171096;Montagut i Oix;1710960009;19;
430862;Montblanc;4308620002;16;
430884;Montbrió del Camp;4308840003;08;
081252;Montcada i Reixac;0812520002;40;
081304;Montclar;0813040003;14;
251399;Montellà i Martinet;2513990004;15;
081311;Montesquiu;0813110007;24;
251403;Montferrer i Castellbò;2514030008;04;
430897;Montferri;4308970005;01;
251386;Montgai;2513860009;23;
081265;Montgat;0812650006;21;
081326;Montmajor;0813260009;14;
081332;Montmaneu;0813320002;06;
430901;Montmell, el;4309010007;12;
081350;Montmeló;0813500000;41;
251425;Montoliu de Lleida;2514250006;33;
251410;Montoliu de Segarra;2514100000;32;
251431;Montornès de Segarra;2514310007;32;
081363;Montornès del Vallès;0813630008;41;
081379;Montseny;0813790004;41;
430939;Móra d'Ebre;4309390004;30;
430944;Móra la Nova;4309440003;30;
430957;Morell, el;4309570005;36;
430960;Morera de Montsant, la;4309600000;29;
081290;Muntanyola;0812900000;24;
081398;Mura;0813980001;07;
251459;Nalec;2514590004;38;
250254;Naut Aran;2502540003;39;
081402;Navarcles;0814020002;07;
081419;Navàs;0814190004;07;
171117;Navata;1711170005;02;
251462;Navès;2514620002;35;
